Number;Name;Topping;Price;Nyhed
1);Vesuvio:;Tomatsauce, Ost, Skinke og Oregano;57
2);Amerikaner:;Tomatsauce, Ost, Oksefars og Oregano;53;Nyhed
3);Cacciatore:;Tomatsauce, Ost, Pepperoni og Oregano;57
4);Carbona:;Tomatsauce, Ost, Kødsauce, Spaghetti, Cocktailpølser og Oregano;63;Nyhed
5);Dennis:;Tomatsauce, Ost, Skinke, Pepperoni, Cocktailpølser og Oregano;65;Nyhed
6);Bertil:;Tomatsauce, Ost, Bacon og Oregano;57
7);Silvia:;Tomatsauce, Ost, Pepperoni, Rød peber, Løg, Oliven og Oregano;61
8);Victoria:;Tomatsauce, Ost, Skinke, Ananas, Champignon, Løg og Oregano;61
9);Toronfo:;Tomatsauce, Ost, Skinke, Bacon, Kebab, Chili og Oregano;61;Nyhed
10);Capricciosa:;Tomatsauce, Ost, Skinke, Champignon, Løg og Oregano;61
11);Hawai:;Tomatsauce, Ost, Skinke, Ananas og Oregano;61
12);Le Blissola:;Tomatsauce, Ost, Skinke, Rejer og Oregano;61
13);Venezia:;Tomatsauce, Ost, Skinke, Bacon og Oregano;61
14);Mafia:;Tomatsauce, Ost, Pepperoni, Bacon, Løg og Oregano;61;Nyhed